,brand,capacity,types,speed ,color,rating,price,warranty
163,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
164,realme,5 kg,Front Load,1400,Grey,4.2,"9,690",2
165,LG,7 kg,Front Load,1350,Not Specified,4.4,"11,490",2
166,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
167,SAMSUNG,8 Kg,Top Load,1300,Grey,4.4,"11,490",3
168,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
169,realme,7 kg,Top Load,1400,Not Specified,4.2,"7,690",2
170,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
171,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
172,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
173,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
174,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
175,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
176,SAMSUNG,7 kg,Front Load,700,Grey,4.3,"17,990",3
177,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
178,MarQ,6 kg,Front Load,1350,Not Specified,4.2,"6,790",2
179,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
180,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
181,SAMSUNG,8 kg,Front Load,700,Grey,4.3,"19,990",3
182,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
183,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
184,SAMSUNG,5 kg,Top Load,1350,Grey,4.4,"9,690",3
185,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
186,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
187,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
188,realme,5 kg,Front Load,1400,Grey,4.2,"9,690",2
189,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
190,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
191,SAMSUNG,8 Kg,Front Load,1300,Grey,4.4,"11,490",3
192,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
193,realme,7 kg,Top Load,1400,Not Specified,4.2,"7,690",2
194,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
195,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
196,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
197,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
198,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
199,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
200,SAMSUNG,7 kg,Front Load,700,Grey,4.3,"17,990",3
201,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
202,MarQ,6 kg,Top Load,1350,Not Specified,4.2,"6,790",2
203,Thomson,5 kg,Front Load,1400,Not Specified,4.1,"7,999",2
204,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
205,SAMSUNG,8 kg,Top Load,700,Grey,4.3,"19,990",3
206,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
207,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
208,SAMSUNG,5 kg,Top Load,1350,Grey,4.4,"9,690",3
209,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
210,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
211,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
212,realme,5 kg,Top Load,1400,Grey,4.2,"9,690",2
213,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
214,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
215,SAMSUNG,8 Kg,Top Load,1300,Grey,4.4,"11,490",3
216,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
217,realme,7 kg,Front Load,1400,Not Specified,4.2,"7,690",2
218,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
219,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
220,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
221,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
222,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
223,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
224,SAMSUNG,7 kg,Top Load,700,Grey,4.3,"17,990",3
225,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
226,MarQ,6 kg,Front Load,1350,Not Specified,4.2,"6,790",2
227,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
228,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
229,SAMSUNG,8 kg,Top Load,700,Grey,4.3,"19,990",3
230,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
231,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
232,SAMSUNG,5 kg,Top Load,1350,Grey,4.4,"9,690",3
233,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
234,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
235,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
236,realme,5 kg,Top Load,1400,Grey,4.2,"9,690",2
237,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
238,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
